date,close,rate,mean,pos,neg,neu
2022/1/3,1.1294,/,-0.5,0,1,0
2022/1/4,1.1285,-0.0797,-0.2333,0,1,0
2022/1/5,1.1313,0.2481,-0.2583,0,1,0
2022/1/6,1.1291,-0.1945,-0.16,0,1,0
2022/1/7,1.1359,0.6022,-0.24,0,1,0
2022/1/10,1.1324,-0.3081,-0.4143,0,1,0
2022/1/11,1.1364,0.3532,0.0667,1,0,0
2022/1/12,1.1442,0.6864,0.2167,1,0,0
2022/1/13,1.1453,0.0961,0.4714,1,0,0
2022/1/14,1.1414,-0.3405,0.4667,1,0,0
2022/1/17,1.1407,-0.0613,0.0556,1,0,0
2022/1/18,1.1325,-0.7189,-0.4286,0,1,0
2022/1/19,1.1341,0.1413,-0.7143,0,1,0
2022/1/20,1.131,-0.2733,-0.1429,0,1,0
2022/1/21,1.134,0.2653,-0.2625,0,1,0
2022/1/24,1.1323,-0.1499,-0.4091,0,1,0
2022/1/25,1.1299,-0.212,-0.3923,0,1,0
2022/1/26,1.1237,-0.5487,-0.3125,0,1,0
2022/1/27,1.1143,-0.8365,-0.8043,0,1,0
2022/1/28,1.1143,0,-0.4385,0,1,0
2022/1/31,1.1233,0.8077,-0.275,0,1,0
2022/2/1,1.1269,0.3205,0.2,1,0,0
2022/2/2,1.1303,0.3017,0.05,1,0,0
2022/2/3,1.1438,1.1944,0.1733,1,0,0
2022/2/4,1.1446,0.0699,0,0,0,1
2022/2/7,1.1442,-0.0349,0.0455,1,0,0
2022/2/8,1.1414,-0.2447,-0.19,0,1,0
2022/2/9,1.1422,0.0701,0.2167,1,0,0
2022/2/10,1.1427,0.0438,0.06,1,0,0
2022/2/11,1.1349,-0.6826,-0.4,0,1,0
2022/2/14,1.1305,-0.3877,0.0667,1,0,0
2022/2/15,1.1356,0,0,0,0,0
2022/2/16,1.1373,0,0,0,0,0
2022/2/17,1.136,-0.1143,-0.7,0,1,0
2022/2/18,1.1321,-0.3433,0.0571,1,0,0
2022/2/21,1.131,-0.0972,-0.0333,0,1,0
2022/2/22,1.1325,0.1326,-0.2167,0,1,0
2022/2/23,1.1309,-0.1413,-0.25,0,1,0
2022/2/24,1.1191,-1.0434,-0.6857,0,1,0
2022/2/25,1.1267,0.6791,-0.4,0,1,0
2022/2/28,1.1219,-0.426,-0.45,0,1,0
2022/3/1,1.1126,-0.829,-0.5167,0,1,0
2022/3/2,1.1121,-0.0449,-0.6455,0,1,0
2022/3/3,1.1064,-0.5125,-0.2,0,1,0
2022/3/4,1.0926,-1.2473,-0.6118,0,1,0
2022/3/7,1.0852,-0.6773,-0.4308,0,1,0
2022/3/8,1.0899,0.4331,0.18,1,0,0
2022/3/9,1.1075,1.6148,0.4125,1,0,0
2022/3/10,1.0983,-0.8307,0.07,1,0,0
2022/3/11,1.0909,-0.6738,-0.0222,0,1,0
2022/3/14,1.0939,0.275,0.2333,1,0,0
2022/3/15,1.0951,0.1097,0.15,1,0,0
2022/3/16,1.1032,0.7397,-0.1286,0,1,0
2022/3/17,1.1089,0.5167,0.1125,1,0,0
2022/3/18,1.1055,-0.3066,-0.275,0,1,0
2022/3/21,1.1014,-0.3709,-0.2,0,1,0
2022/3/22,1.1027,0.118,-0.1,0,1,0
2022/3/23,1.1004,-0.2086,-0.075,0,1,0
2022/3/24,1.0996,-0.0727,-0.35,0,1,0
2022/3/25,1.0981,-0.1364,-0.1444,0,1,0
2022/3/28,1.0978,0,0,0,0,0
