date,close,rate,mean,pos,neg,neu
2022/1/3,1.3471,/,-0.52,0,1,0
2022/1/4,1.3532,0.4528,0.28,1,0,0
2022/1/5,1.3554,0.1626,0.07,1,0,0
2022/1/6,1.3528,-0.1918,0.26,1,0,0
2022/1/7,1.3585,0.4213,-0.05,0,1,0
2022/1/10,1.3575,-0.0736,-0.6,0,1,0
2022/1/11,1.3635,0.442,0,0,0,1
2022/1/12,1.3701,0.484,0.48,1,0,0
2022/1/13,1.3705,0.0292,0.53,1,0,0
2022/1/14,1.3673,-0.2335,-0.2,0,1,0
2022/1/17,1.3645,-0.2048,0,0,0,0
2022/1/18,1.3594,-0.3738,-0.22,0,1,0
2022/1/19,1.3606,0.0883,0.03,1,0,0
2022/1/20,1.3595,-0.0808,-0.19,0,1,0
2022/1/21,1.3554,-0.3016,-0.26,0,1,0
2022/1/24,1.3485,-0.5091,-0.35,0,1,0
2022/1/25,1.3496,0.0816,0,0,0,0
2022/1/26,1.3461,-0.2593,0,0,0,0
2022/1/27,1.3385,-0.5646,0,0,0,0
2022/1/28,1.3404,0.1419,0,0,0,0
2022/1/31,1.3445,0.3059,0,0,0,0
2022/2/1,1.352,0.5578,0,0,0,0
2022/2/2,1.3577,0.4216,0,0,0,0
2022/2/3,1.3595,0.1326,0,0,0,0
2022/2/4,1.3529,-0.4855,0,0,0,0
2022/2/7,1.3534,0.037,-0.35,0,1,0
2022/2/8,1.3541,0.0517,0.17,1,0,0
2022/2/9,1.3532,-0.0665,0.17,1,0,0
2022/2/10,1.3555,0.17,0.14,1,0,0
2022/2/11,1.356,0.0369,0.15,1,0,0
2022/2/14,1.3526,-0.2507,-0.65,0,1,0
2022/2/15,1.3533,0.0518,-0.05,0,1,0
2022/2/16,1.3583,0.3695,0.14,1,0,0
2022/2/17,1.3614,0.2282,0.17,1,0,0
2022/2/18,1.359,-0.1763,0.23,1,0,0
2022/2/21,1.3598,0.0589,0.05,1,0,0
2022/2/22,1.3582,-0.1177,-0.17,0,1,0
2022/2/23,1.3542,-0.2945,0,0,0,0
2022/2/24,1.3375,-1.2332,-0.6,0,1,0
2022/2/25,1.3405,0.2243,-0.8,0,1,0
2022/2/28,1.3419,0.1044,0,0,0,0
2022/3/1,1.3321,-0.7303,0,0,0,0
2022/3/2,1.3403,0.6156,0,0,0,0
2022/3/3,1.3346,-0.4253,0,0,0,0
2022/3/4,1.3225,-0.9066,0,0,0,0
2022/3/7,1.3102,-0.9301,-0.3,0,1,0
2022/3/8,1.3103,0.0076,-0.55,0,1,0
2022/3/9,1.3179,0.58,0.4,1,0,0
2022/3/10,1.3083,-0.7284,0.25,1,0,0
2022/3/11,1.3036,-0.3592,-0.6,0,1,0
2022/3/14,1.3,-0.2762,-0.15,0,1,0
2022/3/15,1.3038,0.2923,0.5,1,0,0
2022/3/16,1.3145,0.8207,0,0,0,0
2022/3/17,1.3146,0.0076,-0.3,0,1,0
2022/3/18,1.318,0.2586,0.3,1,0,0
2022/3/21,1.3165,-0.1138,-0.4,0,1,0
2022/3/22,1.3263,0.7444,0.45,1,0,0
2022/3/23,1.3203,-0.4524,0,0,0,0
2022/3/24,1.3183,-0.1515,-0.5,0,1,0
2022/3/25,1.3188,0.0379,-0.1,0,1,0
2022/3/28,1.3084,-0.7886,-0.37,0,1,0
2022/3/29,1.3084,0,-0.7,0,1,0
2022/3/30,1.3131,0.3592,0.4,1,0,0
2022/3/31,1.3133,0.0152,0,0,0,0
2022/4/1,1.3112,-0.1599,-0.3,0,1,0
2022/4/4,1.3113,0.0076,0,0,0,0
2022/4/5,1.3068,-0.3432,-0.35,0,1,0
2022/4/6,1.3068,0,-0.23,0,1,0
2022/4/7,1.3073,0.0383,0,0,0,0
2022/4/8,1.3031,-0.3213,-0.55,0,1,0
2022/4/11,1.3029,-0.0153,-0.7,0,1,0
2022/4/12,1.2997,-0.2456,-0.2,0,1,0
2022/4/13,1.3115,0.9079,0.5,1,0,0
2022/4/14,1.3065,-0.3812,-0.23,0,1,0
2022/4/15,1.3058,-0.0536,0,0,0,0
2022/4/18,1.3008,-0.3829,0,0,0,0
2022/4/19,1.2996,-0.0923,0,0,0,0
2022/4/20,1.3066,0.5386,0,0,0,1
2022/4/21,1.3028,-0.2908,-0.07,0,1,0
2022/4/22,1.2837,-1.4661,-0.37,0,1,0
2022/4/25,1.274,-0.7556,-0.56,0,1,0
2022/4/26,1.2572,-1.3187,-0.8,0,1,0
2022/4/27,1.2548,-0.1909,-0.33,0,1,0
2022/4/28,1.2456,-0.7332,0,0,0,0
2022/4/29,1.2571,0.9232,0,0,0,0
2022/5/2,1.2491,-0.6364,-0.5,0,1,0
2022/5/3,1.2498,0.056,-0.13,0,1,0
2022/5/4,1.2621,0.9842,-0.7,0,1,0
2022/5/5,1.2364,-2.0363,-0.41,0,1,0
2022/5/6,1.2337,-0.2184,-0.55,0,1,0
2022/5/9,1.2331,-0.0486,0,0,0,1
2022/5/10,1.2322,-0.073,-0.3,0,1,0
2022/5/11,1.225,-0.5843,-0.1,0,1,0
2022/5/12,1.2199,-0.4163,-0.17,0,1,0
2022/5/13,1.2261,0.5082,-0.4,0,1,0
2022/5/16,1.2317,0.4567,0.3,1,0,0
2022/5/17,1.249,1.4046,0.46,1,0,0
2022/5/18,1.2338,-1.217,0,0,0,0
2022/5/19,1.246,0.9888,0.45,1,0,0
2022/5/20,1.2487,0.2167,0,0,0,1
2022/5/23,1.2588,0.8088,0.6,1,0,0
2022/5/24,1.2529,-0.4687,-0.5,0,1,0
2022/5/25,1.2564,0.2794,-0.2,0,1,0
2022/5/26,1.2594,0.2388,0.18,1,0,0
2022/5/27,1.2616,0.1747,-0.3,0,1,0
2022/5/30,1.265,0.2695,-0.2,0,1,0
2022/5/31,1.26,-0.3953,-0.17,0,1,0
2022/6/1,1.2482,-0.9365,-0.33,0,1,0
2022/6/2,1.2576,0.7531,0.5,1,0,0
2022/6/3,1.2485,-0.7236,-0.13,0,1,0
2022/6/6,1.253,0.3604,0.3,1,0,0
2022/6/7,1.2588,0.4629,-0.01,0,1,0
2022/6/8,1.2539,-0.3893,-0.5,0,1,0
2022/6/9,1.249,-0.3908,0.3,1,0,0
2022/6/10,1.2314,-1.4091,-0.33,0,1,0
2022/6/13,1.2134,-1.4618,-0.47,0,1,0
2022/6/14,1.1993,-1.162,-0.34,0,1,0
2022/6/15,1.2178,1.5426,0.47,1,0,0
2022/6/16,1.2351,1.4206,0.06,1,0,0
2022/6/17,1.2224,-1.0283,0.9,1,0,0
2022/6/20,1.225,0.2127,0,0,0,0
2022/6/21,1.2272,0.1796,0,0,0,0
2022/6/22,1.2266,-0.0489,0,0,0,0
2022/6/23,1.226,-0.0489,0,0,0,0
2022/6/24,1.2262,0.0163,0,0,0,0
2022/6/27,1.2264,0.0163,0,0,0,0
2022/6/28,1.2182,-0.6686,0,0,0,0
2022/6/29,1.2125,-0.4679,0,0,0,0
2022/6/30,1.2175,0.4124,0,0,0,0
2022/7/1,1.2094,-0.6653,0,0,0,0
2022/7/4,1.2105,0.091,0,0,0,0
2022/7/5,1.1957,-1.2226,-0.5,0,1,0
2022/7/6,1.193,-0.2258,-0.5,0,1,0
2022/7/7,1.2021,0.7628,0.3,1,0,0
2022/7/8,1.2027,0.0499,0,0,0,0
2022/7/11,1.1889,-1.1474,-0.7,0,1,0
2022/7/12,1.1885,-0.0336,-0.65,0,1,0
2022/7/13,1.1889,0.0337,0,0,0,0
2022/7/14,1.1822,-0.5635,-0.57,0,1,0
2022/7/15,1.1852,0.2538,0,0,0,0
2022/7/18,1.1954,0.8606,0.68,1,0,0
2022/7/19,1.1995,0.343,0,0,0,0
2022/7/20,1.1969,-0.2168,0,0,0,0
2022/7/21,1.1993,0.2005,-0.5,0,1,0
2022/7/22,1.2002,0.075,0,0,0,0
2022/7/25,1.2042,0.3333,0.5,1,0,0
2022/7/26,1.2025,-0.1412,-0.5,0,1,0
2022/7/27,1.2151,1.0478,0,0,0,0
2022/7/28,1.2169,0.1481,0.7,1,0,0
2022/7/29,1.2166,-0.0247,0,0,0,0
2022/8/1,1.2248,0.674,0.7,1,0,0
2022/8/2,1.2172,-0.6205,0,0,0,0
2022/8/3,1.2143,-0.2383,0,0,0,0
2022/8/4,1.2157,0.1153,0,0,0,1
2022/8/5,1.2071,-0.7074,0,0,0,0
2022/8/8,1.2076,0.0414,0,0,0,0
2022/8/9,1.208,0.0331,-0.6,0,1,0
2022/8/10,1.2225,1.2003,0.75,1,0,0
2022/8/11,1.2212,-0.1063,0,0,0,0
2022/8/12,1.213,-0.6715,-0.12,0,1,0
2022/8/15,1.2054,-0.6265,-0.5,0,1,0
2022/8/16,1.2093,0.3235,0,0,0,0
2022/8/17,1.2047,-0.3804,0.1,1,0,0
2022/8/18,1.193,-0.9712,-0.2,0,1,0
2022/8/19,1.1827,-0.8634,-0.57,0,1,0
2022/8/22,1.1765,-0.5242,-0.4,0,1,0
2022/8/23,1.1831,0.561,-0.8,0,1,0
2022/8/24,1.1797,-0.2874,0,0,0,0
2022/8/25,1.1829,0.2713,0.25,1,0,0
2022/8/26,1.1747,-0.6932,-0.08,0,1,0
2022/8/29,1.1707,-0.3405,-0.2,0,1,0
2022/8/30,1.1655,-0.4442,-0.5,0,1,0
2022/8/31,1.1622,-0.2831,-0.67,0,1,0
2022/9/1,1.1542,-0.6883,-0.37,0,1,0
2022/9/2,1.1507,-0.3032,0,0,0,1
2022/9/5,1.1513,0.0521,-0.05,0,1,0
2022/9/6,1.1516,0.0261,0.36,1,0,0
2022/9/7,1.1525,0.0782,0,0,0,0
2022/9/8,1.15,-0.2169,0,0,0,0
2022/9/9,1.1587,0.7565,0,0,0,0
2022/9/12,1.1679,0.794,0.55,1,0,0
2022/9/13,1.1491,-1.6097,-0.22,0,1,0
2022/9/14,1.1535,0.3829,-0.18,0,1,0
2022/9/15,1.1463,-0.6242,-0.13,0,1,0
2022/9/16,1.1412,-0.4449,-0.53,0,1,0
2022/9/19,1.1429,0.149,0,0,0,0
2022/9/20,1.1379,-0.4375,0,0,0,0
2022/9/21,1.1266,-0.9931,-0.6,0,1,0
2022/9/22,1.1257,-0.0799,-0.47,0,1,0
2022/9/23,1.0856,-3.5622,-0.73,0,1,0
2022/9/26,1.0684,-1.5844,-0.63,0,1,0
2022/9/27,1.0731,0.4399,0.24,1,0,0
2022/9/28,1.0888,1.4631,-0.14,0,1,0
2022/9/29,1.1115,2.0849,-0.03,0,1,0
2022/9/30,1.116,0.4049,0.56,1,0,0
2022/10/3,1.1322,1.4516,0.65,1,0,0
2022/10/4,1.1473,1.3337,0.44,1,0,0
2022/10/5,1.1326,-1.2813,-0.69,0,1,0
2022/10/6,1.1158,-1.4833,-0.19,0,1,0
2022/10/7,1.1084,-0.6632,0,0,0,0
2022/10/10,1.1055,-0.2616,0,0,0,0
2022/10/11,1.0963,-0.8322,0,0,0,0
2022/10/12,1.1103,1.277,0,0,0,0
2022/10/13,1.1329,2.0355,0.83,1,0,0
2022/10/14,1.117,-1.4035,-0.08,0,1,0
2022/10/17,1.1353,1.6383,0.52,1,0,0
2022/10/18,1.1318,-0.3083,-0.3,0,1,0
2022/10/19,1.1214,-0.9189,-0.28,0,1,0
2022/10/20,1.1233,0.1694,0.09,1,0,0
2022/10/21,1.1302,0.6143,-0.41,0,1,0
2022/10/24,1.1275,-0.2389,0.39,1,0,0
2022/10/25,1.1467,1.7029,0.66,1,0,0
2022/10/26,1.1627,1.3953,0.66,1,0,0
2022/10/27,1.1564,-0.5418,-0.25,0,1,0
2022/10/28,1.161,0.3978,-0.1,0,1,0
2022/10/31,1.1469,-1.2145,-0.67,0,1,0
2022/11/1,1.1483,0.1221,-0.27,0,1,0
2022/11/2,1.1389,-0.8186,0,0,0,1
2022/11/3,1.1165,-1.9668,-0.71,0,1,0
2022/11/4,1.1375,1.8809,0.49,1,0,0
2022/11/7,1.1511,1.1956,-0.18,0,1,0
2022/11/8,1.1536,0.2172,0.2,1,0,0
2022/11/9,1.1356,-1.5603,-0.28,0,1,0
2022/11/10,1.1713,3.1437,0.77,1,0,0
2022/11/11,1.1835,1.0416,0,0,0,0
2022/11/14,1.1752,-0.7013,0,0,0,0
2022/11/15,1.1858,0.902,0,0,0,0
2022/11/16,1.1908,0.4217,0,0,0,0
2022/11/17,1.1862,-0.3863,0,0,0,0
2022/11/18,1.1884,0.1855,0,0,0,0
2022/11/21,1.1821,-0.5301,0,0,0,0
2022/11/22,1.1883,0.5245,0,0,0,0
2022/11/23,1.2052,1.4222,0,0,0,0
2022/11/24,1.211,0.4812,0,0,0,0
2022/11/25,1.2093,-0.1404,0,0,0,0
2022/11/28,1.1958,-1.1163,0,0,0,0
2022/11/29,1.1953,-0.0418,-0.23,0,1,0
2022/11/30,1.2056,0.8617,0.45,1,0,0
2022/12/1,1.2253,1.634,0.75,1,0,0
2022/12/2,1.2287,0.2775,0,0,0,0
2022/12/5,1.2188,-0.8057,-0.15,0,1,0
2022/12/6,1.2137,-0.4184,-0.4,0,1,0
2022/12/7,1.2199,0.5108,0.19,1,0,0
2022/12/8,1.2233,0.2787,0,0,0,0
