date,close,rate,mean,pos,neg,neu
2022/1/3,6.3561,0,0.5,1,0,0
2022/1/4,6.3726,0,0,0,0,0
2022/1/5,6.3644,-0.1287,-0.5,0,1,0
2022/1/6,6.383,0.2923,0.5,1,0,0
2022/1/7,6.3778,0,0,0,0,0
2022/1/10,6.3762,0,0,0,0,0
2022/1/11,6.3741,0,0,0,0,0
2022/1/12,6.3584,0,0,0,0,0
2022/1/13,6.3599,0.0236,-0.5,0,1,0
2022/1/14,6.3528,0,0,0,0,0
2022/1/17,6.3488,0,0,0,0,0
2022/1/18,6.353,0,0,0,0,0
2022/1/19,6.345,-0.1259,-0.4,0,1,0
2022/1/20,6.3411,-0.0615,-0.5,0,1,0
2022/1/21,6.339,-0.0331,-0.5,0,1,0
2022/1/24,6.3308,0,0,0,0,0
2022/1/25,6.3261,0,0,0,0,0
2022/1/26,6.3209,-0.0822,-0.5,0,1,0
2022/1/27,6.3683,0.7499,0.5,1,0,0
2022/1/28,6.361,-0.1146,-0.5,0,1,0
2022/1/31,6.361,0,0.5,1,0,0
2022/2/1,6.361,0,-0.5,0,1,0
2022/2/2,6.361,0,-0.5,0,1,0
2022/2/3,6.361,0,0.5,1,0,0
2022/2/4,6.361,0,0.5,1,0,0
2022/2/7,6.3623,0.0204,0.5,1,0,0
2022/2/8,6.3666,0,0,0,0,0
2022/2/9,6.3627,0,0,0,0,0
2022/2/10,6.3541,-0.1352,-0.5,0,1,0
2022/2/11,6.3546,0,0,0,0,0
2022/2/14,6.3576,0,0,0,0,0
2022/2/15,6.3392,-0.2894,-0.5,0,1,0
2022/2/16,6.3372,0,0,0,0,0
2022/2/17,6.3384,0,0,0,0,0
2022/2/18,6.3256,0,0,0,0,0
2022/2/21,6.3353,0.1533,0.5,1,0,0
2022/2/22,6.3265,-0.1389,-0.2,0,1,0
2022/2/23,6.315,-0.1818,0.5,1,0,0
2022/2/24,6.3292,0.2249,0.6,1,0,0
2022/2/25,6.3175,0,0,0,0,0
2022/2/28,6.3093,-0.1298,0.5,1,0,0
2022/3/1,6.3122,0,0,0,0,0
2022/3/2,6.3211,0.141,0.5,1,0,0
2022/3/3,6.3202,0,0,0,0,0
2022/3/4,6.32,0,0,0,0,0
2022/3/7,6.3208,0,0,0,0,0
2022/3/8,6.3187,0,0,0,0,0
2022/3/9,6.3178,0,0,0,0,0
2022/3/10,6.3219,0,0,0,0,0
2022/3/11,6.3398,0.2831,0.5,1,0,0
2022/3/14,6.3657,0.4085,0.6,1,0,0
2022/3/15,6.3706,0.077,0.5,1,0,0
2022/3/16,6.3523,-0.2873,0.7,1,0,0
2022/3/17,6.347,-0.0834,-0.5,0,1,0
2022/3/18,6.3612,0.2237,-0.5,0,1,0
2022/3/21,6.356,-0.0817,0.9,1,0,0
2022/3/22,6.3665,0.1652,0.6,1,0,0
2022/3/23,6.3724,0,0,0,0,0
2022/3/24,6.3678,0,0,0,0,0
2022/3/25,6.3662,-0.0251,-0.7,0,1,0
2022/3/28,6.3721,0,0,0,0,0
2022/3/29,6.3642,-0.124,0,0,0,1
2022/3/30,6.3477,0,0,0,0,0
2022/3/31,6.34,0,0,0,0,0
2022/4/1,6.3631,0,0,0,0,0
2022/4/4,6.3631,0,0,0,0,0
2022/4/5,6.3631,0,0,0,0,0
2022/4/6,6.3599,0,0,0,0,0
2022/4/7,6.3604,0,0,0,0,0
2022/4/8,6.365,0,0,0,0,0
2022/4/11,6.37,0,0,0,0,0
2022/4/12,6.366,0,0,0,0,0
2022/4/13,6.3682,0,0,0,0,0
2022/4/14,6.3784,0,0,0,0,0
2022/4/15,6.3712,-0.1129,-0.6,0,1,0
2022/4/18,6.367,-0.0659,0,0,0,1
2022/4/19,6.3935,0,0,0,0,0
2022/4/20,6.4192,0.402,0,0,0,1
2022/4/21,6.4506,0.4892,0.6,1,0,0
2022/4/22,6.5013,0.786,0.6,1,0,0
