date,close,rate,mean,pos,neg,neu
2022/1/3,115.32,0,-0.5,0,1,0
2022/1/4,116.14,0.7111,0.4444,1,0,0
2022/1/5,116.1,-0.0344,0.05,1,0,0
2022/1/6,115.82,-0.2412,-0.2,0,1,0
2022/1/7,115.55,-0.2331,0.28,1,0,0
2022/1/10,115.2,-0.3029,-0.15,0,1,0
2022/1/11,115.28,0.0694,-0.1,0,1,0
2022/1/12,114.63,-0.5638,-0.1667,0,1,0
2022/1/13,114.17,-0.4013,-0.4,0,1,0
2022/1/14,114.2,0.0263,-0.45,0,1,0
2022/1/17,114.6,0.3503,0.2,1,0,0
2022/1/18,114.61,0.0087,0.1286,1,0,0
2022/1/19,114.32,-0.253,0.25,1,0,0
2022/1/20,114.09,-0.2012,0.14,1,0,0
2022/1/21,113.68,-0.3594,0.1,1,0,0
2022/1/24,113.92,0.2111,0,0,0,1
2022/1/25,113.86,-0.0527,-0.05,0,1,0
2022/1/26,114.63,0.6763,0.2,1,0,0
2022/1/27,115.34,0.6194,0.4,1,0,0
2022/1/28,115.24,-0.0867,0.6333,1,0,0
2022/1/31,115.1,0,0,0,0,0
2022/2/1,114.71,-0.3388,-0.2,0,1,0
2022/2/2,114.44,0,0,0,0,0
2022/2/3,114.95,0,0,0,0,0
2022/2/4,115.2,0,0,0,0,0
2022/2/7,115.12,0,0,0,0,0
2022/2/8,115.54,0.3648,0.3333,1,0,0
2022/2/9,115.49,-0.0433,0.3,1,0,0
2022/2/10,116,0.4416,0.275,1,0,0
2022/2/11,115.41,-0.5086,0.55,1,0,0
2022/2/14,115.53,0.104,0.5,1,0,0
2022/2/15,115.62,0.0779,0.05,1,0,0
2022/2/16,115.46,0,0,0,0,0
2022/2/17,114.93,0,0,0,0,0
2022/2/18,115,0,0,0,0,0
2022/2/21,114.74,0,0,0,0,0
2022/2/22,115.08,0,0,0,0,0
2022/2/23,114.97,0,0,0,0,0
2022/2/24,115.52,0,0,0,0,0
2022/2/25,115.56,0,0,0,0,0
2022/2/28,114.99,0,0,0,0,0
2022/3/1,114.89,0,0,0,0,0
2022/3/2,115.5,0,0,0,0,0
2022/3/3,115.46,0,0,0,0,0
2022/3/4,114.78,0,0,0,0,0
2022/3/7,115.29,0,0,0,0,0
2022/3/8,115.66,0,0,0,0,0
2022/3/9,115.82,0,0,0,0,0
2022/3/10,116.13,0,0,0,0,0
2022/3/11,117.28,0.9903,0.6667,1,0,0
2022/3/14,118.18,0.7674,0.675,1,0,0
2022/3/15,118.28,0.0846,0.3,1,0,0
2022/3/16,118.72,0.372,0.8,1,0,0
2022/3/17,118.59,-0.1095,0.4333,1,0,0
2022/3/18,119.17,0.4891,0.525,1,0,0
2022/3/21,119.47,0.2517,0.9,1,0,0
2022/3/22,120.8,1.1133,0.72,1,0,0
2022/3/23,121.15,0.2897,0.55,1,0,0
2022/3/24,122.33,0.974,0.625,1,0,0
2022/3/25,122.06,-0.2207,0.075,1,0,0
2022/3/28,123.91,1.5156,0.8333,1,0,0
2022/3/29,122.84,-0.8635,-0.8,0,1,0
2022/3/30,121.8,-0.8466,-0.43,0,1,0
2022/3/31,121.66,-0.1149,0.2,1,0,0
2022/4/1,122.49,0.6822,0.6545,1,0,0
2022/4/4,122.78,0,0,0,0,0
2022/4/5,123.6,0.6679,0.44,1,0,0
2022/4/6,123.79,0.1537,0.1333,1,0,0
2022/4/7,123.92,0,0,0,0,0
2022/4/8,124.32,0,0,0,0,0
2022/4/11,125.35,0.8285,0.6875,1,0,0
2022/4/12,125.35,0,-0.3,0,1,0
2022/4/13,125.66,0,0,0,0,0
2022/4/14,125.86,0,0,0,0,0
2022/4/15,126.35,0,0,0,0,0
2022/4/18,126.97,0,0,0,0,0
2022/4/19,128.9,1.52,0.6,1,0,0
2022/4/20,127.88,-0.7913,-0.1429,0,1,0
2022/4/21,128.39,0.3988,0.35,1,0,0
2022/4/22,128.56,0.1324,0.14,1,0,0
2022/4/25,128.12,-0.3423,-0.5,0,1,0
2022/4/26,127.22,-0.7025,-0.4,0,1,0
2022/4/27,128.42,0.9432,0.575,1,0,0
2022/4/28,130.85,1.8922,0.619,1,0,0
2022/4/29,129.83,-0.7795,-0.5,0,1,0
2022/5/2,130.14,0.2388,0.1333,1,0,0
2022/5/3,130.1,-0.0307,-0.3,0,1,0
2022/5/4,129.07,0,0,0,0,0
2022/5/5,130.13,0.8213,0.34,1,0,0
2022/5/6,130.56,0.3304,0.55,1,0,0
2022/5/9,130.25,0,0,0,0,0
2022/5/10,130.43,0.1382,-0.7,0,1,0
2022/5/11,129.96,-0.3603,0,0,0,1
2022/5/12,128.32,-1.2619,-0.6444,0,1,0
2022/5/13,129.19,0,0,0,0,0
2022/5/16,129.16,0,0,0,0,0
2022/5/17,129.39,0,0,0,0,0
2022/5/18,128.22,0,0,0,0,0
2022/5/19,127.8,0,0,0,0,0
2022/5/20,127.85,0,0,0,0,0
2022/5/23,127.87,0,0,0,0,0
2022/5/24,126.8,0,0,0,0,0
2022/5/25,127.31,0,0,0,0,0
2022/5/26,127.14,0,0,0,0,0
2022/5/27,127.11,0,0,0,0,0
2022/5/30,127.55,0,0,0,0,0
2022/5/31,128.68,0,0,0,0,0
2022/6/1,130.11,0,0,0,0,0
2022/6/2,129.83,0,0,0,0,0
2022/6/3,130.86,0,0,0,0,0
2022/6/6,131.87,0.7718,0.5,1,0,0
2022/6/7,132.58,0.5384,0.66,1,0,0
2022/6/8,134.24,1.2521,0.58,1,0,0
2022/6/9,134.33,0.067,-0.15,0,1,0
2022/6/10,134.42,0.067,-0.4667,0,1,0
2022/6/13,134.4,-0.0149,0.4765,1,0,0
2022/6/14,135.47,0.7961,0.3167,1,0,0
2022/6/15,133.83,-1.2106,0.2,1,0,0
2022/6/16,132.2,-1.218,-0.6571,0,1,0
2022/6/17,134.96,2.0877,0.4222,1,0,0
2022/6/20,135.08,0.0889,-0.05,0,1,0
2022/6/21,136.61,1.1327,0.7,1,0,0
2022/6/22,136.26,-0.2562,0.8,1,0,0
2022/6/23,134.93,0,0,0,0,0
2022/6/24,135.17,0,0,0,0,0
2022/6/27,135.43,0,0,0,0,0
2022/6/28,136.12,0,0,0,0,0
2022/6/29,136.58,0,0,0,0,0
2022/6/30,135.73,0,0,0,0,0
2022/7/1,135.19,0,0,0,0,0
2022/7/4,135.69,0,0,0,0,0
2022/7/5,135.87,0,0,0,0,0
2022/7/6,135.93,0,0,0,0,0
2022/7/7,135.98,0,0,0,0,0
2022/7/8,136.08,0,0,0,0,0
2022/7/11,137.42,0,0,0,0,0
2022/7/12,136.86,0,0,0,0,0
2022/7/13,137.42,0,0,0,0,0
2022/7/14,138.9,0,0,0,0,0
2022/7/15,138.53,0,0,0,0,0
2022/7/18,138.12,0,0,0,0,0
2022/7/19,138.18,0,0,0,0,0
2022/7/20,138.2,0,0,0,0,0
2022/7/21,137.37,0,0,0,0,0
2022/7/22,136.05,0,0,0,0,0
2022/7/25,136.66,0,0,0,0,0
2022/7/26,136.91,0,0,0,0,0
2022/7/27,136.55,0,0,0,0,0
2022/7/28,134.28,-1.6624,-0.82,0,1,0
2022/7/29,133.19,-0.8117,-0.4286,0,1,0
2022/8/1,131.61,-1.1863,-0.675,0,1,0
2022/8/2,133.16,1.1777,-0.55,0,1,0
2022/8/3,133.86,0.5257,0.8,1,0,0
2022/8/4,132.85,0,0,0,0,0
2022/8/5,134.97,0,0,0,0,0
2022/8/8,135,0,0,0,0,0
2022/8/9,135.13,0,0,0,0,0
2022/8/10,132.87,-1.6725,-0.72,0,1,0
2022/8/11,133,0.0978,-0.525,0,1,0
2022/8/12,133.48,0.3609,0.5,1,0,0
2022/8/15,133.32,-0.1199,-0.4,0,1,0
2022/8/16,134.21,0.6676,0.6143,1,0,0
2022/8/17,135.01,0.5961,0.5333,1,0,0
2022/8/18,135.88,0.6444,0.4,1,0,0
2022/8/19,136.93,0.7727,0.58,1,0,0
2022/8/22,137.47,0.3944,0.8,1,0,0
2022/8/23,136.78,-0.5019,-0.1,0,1,0
2022/8/24,137.11,0,0,0,0,0
2022/8/25,136.5,0,0,0,0,0
2022/8/26,137.52,0,0,0,0,0
2022/8/29,138.69,0,0,0,0,0
2022/8/30,138.79,0,0,0,0,0
2022/8/31,138.96,0,0,0,0,0
2022/9/1,140.2,0,0,0,0,0
2022/9/2,140.2,0,0,0,0,0
2022/9/5,140.59,0,0,0,0,0
2022/9/6,142.79,0,0,0,0,0
2022/9/7,143.7,0.6373,0.54,1,0,0
2022/9/8,144.09,0.2714,0,0,0,1
2022/9/9,142.52,-1.0896,-0.6583,0,1,0
2022/9/12,142.83,0.2175,0.1,1,0,0
2022/9/13,144.55,1.2042,0.6556,1,0,0
2022/9/14,143.15,-0.9685,-0.2842,0,1,0
2022/9/15,143.52,0,0,0,0,0
2022/9/16,142.91,-0.425,-0.05,0,1,0
2022/9/19,143.2,0,0,0,0,0
2022/9/20,143.72,0.3631,0.05,1,0,0
2022/9/21,144.04,0.2227,0.14,1,0,0
2022/9/22,142.35,-1.1733,-0.2857,0,1,0
2022/9/23,143.32,0.6814,0.1667,1,0,0
2022/9/26,144.75,0.9978,0.4667,1,0,0
2022/9/27,144.76,0.0069,0.4167,1,0,0
2022/9/28,144.16,0,0,0,0,0
2022/9/29,144.45,0.2012,-0.425,0,1,0
2022/9/30,144.75,0.2077,0.2,1,0,0
2022/10/3,144.53,-0.152,0,0,0,1
2022/10/4,144.09,0,0,0,0,0
2022/10/5,144.63,0.3748,0.3,1,0,0
2022/10/6,145.12,0.3388,0.4,1,0,0
2022/10/7,145.33,0.1447,0.6,1,0,0
2022/10/10,145.68,0.2408,0.7,1,0,0
2022/10/11,145.86,0,0,0,0,0
2022/10/12,146.91,0.7199,0.6571,1,0,0
2022/10/13,147.22,0.211,0.7,1,0,0
2022/10/14,148.74,1.0325,0.85,1,0,0
2022/10/17,149.03,0.195,0.1,1,0,0
2022/10/18,149.26,0.1543,0.3,1,0,0
2022/10/19,149.89,0.4221,0.8667,1,0,0
2022/10/20,150.14,0.1668,0.2182,1,0,0
2022/10/21,147.64,-1.6651,-0.1167,0,1,0
2022/10/24,148.96,0.8941,-0.2222,0,1,0
2022/10/25,147.91,-0.7049,-0.275,0,1,0
2022/10/26,146.35,0,0,0,0,0
2022/10/27,146.27,0,0,0,0,0
2022/10/28,147.45,0,0,0,0,0
2022/10/31,148.71,0.8545,0.5,1,0,0
2022/11/1,148.28,-0.2892,-0.46,0,1,0
2022/11/2,147.9,-0.2563,-0.25,0,1,0
2022/11/3,148.27,0.2502,-0.5,0,1,0
2022/11/4,146.59,-1.1331,-0.3714,0,1,0
2022/11/7,146.62,0.0205,-0.26,0,1,0
2022/11/8,145.66,-0.6548,-0.225,0,1,0
2022/11/9,146.44,0.5355,0.1,1,0,0
2022/11/10,140.95,-3.749,-0.7273,0,1,0
2022/11/11,138.79,0,0,0,0,0
2022/11/14,139.88,0.7854,0.45,1,0,0
2022/11/15,139.29,-0.4218,-0.3455,0,1,0
2022/11/16,139.55,0.1867,0.3,1,0,0
2022/11/17,140.18,0.4515,0.12,1,0,0
2022/11/18,140.35,0.1213,0.05,1,0,0
2022/11/21,142.12,1.2611,0.5,1,0,0
2022/11/22,141.24,-0.6192,0.04,1,0,0
2022/11/23,139.59,-1.1682,-0.4,0,1,0
2022/11/24,138.61,-0.7021,-0.4,0,1,0
2022/11/25,139.1,0.3535,0.2,1,0,0
2022/11/28,138.94,-0.115,-0.3333,0,1,0
2022/11/29,138.68,-0.1871,-0.3333,0,1,0
2022/11/30,138.03,-0.4687,0.1667,1,0,0
2022/12/1,135.27,-1.9996,-0.5625,0,1,0
2022/12/2,134.3,-0.7171,-0.7,0,1,0
2022/12/5,136.74,1.8168,0.6,1,0,0
2022/12/6,137.05,0.2267,-0.5,0,1,0
2022/12/7,136.6,-0.3283,0.34,1,0,0
2022/12/8,136.65,0.0366,-0.5,0,1,0
2022/12/9,136.56,-0.0659,0.0571,1,0,0
2022/12/12,137.66,0.8055,0.42,1,0,0
2022/12/13,135.57,-1.5182,-0.9333,0,1,0
2022/12/14,135.47,-0.0738,-0.45,0,1,0
2022/12/15,137.76,0,0,0,0,0
2022/12/16,136.69,-0.7767,-0.24,0,1,0
2022/12/19,136.88,0.139,0.12,1,0,0
2022/12/20,131.7,-3.7843,-0.6865,0,1,0
